date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:42:05	50941/50941	---M-Z	200	added ('OK')	text/html	date:Tue,%2006%20Aug%202024%2009:42:05%20GMT	https://nerdlab.be/mutation/programma	C:/My%20Web%20Sites/nerdlab-mutation-2019/nerdlab.be/mutation/programma.html	(from https://nerdlab.be/mutation/)
11:42:05	3080/3080	---M--	200	added ('OK')	image/jpeg	etag:%22c08-59a23ee1107c1%22	https://nerdlab.be/data/images/_100xAUTO_crop_center-center_90_none/mutation-square.jpg	C:/My%20Web%20Sites/nerdlab-mutation-2019/nerdlab.be/data/images/_100xAUTO_crop_center-center_90_none/mutation-square.jpg	(from https://nerdlab.be/mutation/)
11:42:05	72703/72703	---M--	200	added ('OK')	image/jpeg	etag:%2211bff-59a23e42af1d8%22	https://nerdlab.be/data/images/_900xAUTO_crop_center-center_90_none/mutation-square.jpg	C:/My%20Web%20Sites/nerdlab-mutation-2019/nerdlab.be/data/images/_900xAUTO_crop_center-center_90_none/mutation-square.jpg	(from https://nerdlab.be/mutation/)
11:42:06	38184/38184	---M-Z	200	added ('OK')	text/html	date:Tue,%2006%20Aug%202024%2009:42:06%20GMT	https://nerdlab.be/mutation/nieuws/praktisch	C:/My%20Web%20Sites/nerdlab-mutation-2019/nerdlab.be/mutation/nieuws/praktisch.html	(from https://nerdlab.be/mutation/)
11:42:06	3241/3241	---M--	200	added ('OK')	image/jpeg	etag:%22ca9-59a23edabc2f1%22	https://nerdlab.be/data/images/_100xAUTO_crop_center-center_90_none/107_191119_202649.jpg	C:/My%20Web%20Sites/nerdlab-mutation-2019/nerdlab.be/data/images/_100xAUTO_crop_center-center_90_none/107_191119_202649.jpg	(from https://nerdlab.be/mutation/)
11:42:06	121058/121058	---M--	200	added ('OK')	image/jpeg	etag:%221d8e2-59a23e35696d0%22	https://nerdlab.be/data/images/_900xAUTO_crop_center-center_90_none/107_191119_202649.jpg	C:/My%20Web%20Sites/nerdlab-mutation-2019/nerdlab.be/data/images/_900xAUTO_crop_center-center_90_none/107_191119_202649.jpg	(from https://nerdlab.be/mutation/)
11:42:07	42157/42157	---M-Z	200	added ('OK')	text/html	date:Tue,%2006%20Aug%202024%2009:42:06%20GMT	https://nerdlab.be/mutation/nieuws/gratis-feest-en-expo	C:/My%20Web%20Sites/nerdlab-mutation-2019/nerdlab.be/mutation/nieuws/gratis-feest-en-expo.html	(from https://nerdlab.be/mutation/)
11:42:07	116221/116221	---M--	200	added ('OK')	text/javascript	etag:%221c5fd-615aa68046ba0%22	https://nerdlab.be/build/scripts-265a2f0c5c.min.js	C:/My%20Web%20Sites/nerdlab-mutation-2019/nerdlab.be/build/scripts-265a2f0c5c.min.js	(from https://nerdlab.be/mutation/)
11:42:07	113373/113373	---M--	200	added ('OK')	image/jpeg	etag:%221badd-59a23e2a2755f%22	https://nerdlab.be/data/images/_1200x630_crop_center-center_none/IMG_6669_druk-c-Michiel-Devijver.jpg	C:/My%20Web%20Sites/nerdlab-mutation-2019/nerdlab.be/data/images/_1200x630_crop_center-center_none/IMG_6669_druk-c-Michiel-Devijver.jpg	(from https://nerdlab.be/mutation/nieuws)
11:42:07	108999/108999	---M--	200	added ('OK')	image/jpeg	etag:%221a9c7-59a23ed379423%22	https://nerdlab.be/data/images/_1200x600_crop_center-center_none/IMG_6669_druk-c-Michiel-Devijver.jpg	C:/My%20Web%20Sites/nerdlab-mutation-2019/nerdlab.be/data/images/_1200x600_crop_center-center_none/IMG_6669_druk-c-Michiel-Devijver.jpg	(from https://nerdlab.be/mutation/nieuws)
11:42:08	12094/12094	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2006%20Aug%202024%2009:42:07%20GMT	https://nerdlab.be/mutation/mutation/nieuws	C:/My%20Web%20Sites/nerdlab-mutation-2019/nerdlab.be/mutation/mutation/nieuws	(from https://nerdlab.be/mutation/nieuws)
11:42:08	6330/6330	---M--	200	added ('OK')	image/jpeg	etag:%2218ba-59a23ed86cd62%22	https://nerdlab.be/data/images/_100xAUTO_crop_center-center_90_none/digitaal-aanbod.jpg	C:/My%20Web%20Sites/nerdlab-mutation-2019/nerdlab.be/data/images/_100xAUTO_crop_center-center_90_none/digitaal-aanbod.jpg	(from https://nerdlab.be/mutation/nieuws)
11:42:08	185412/185412	---M--	200	added ('OK')	image/jpeg	etag:%222d444-59a23e30025c5%22	https://nerdlab.be/data/images/_900xAUTO_crop_center-center_90_none/digitaal-aanbod.jpg	C:/My%20Web%20Sites/nerdlab-mutation-2019/nerdlab.be/data/images/_900xAUTO_crop_center-center_90_none/digitaal-aanbod.jpg	(from https://nerdlab.be/mutation/nieuws)
11:42:08	37399/37399	---M-Z	200	added ('OK')	text/html	date:Tue,%2006%20Aug%202024%2009:42:08%20GMT	https://nerdlab.be/mutation/nieuws/digitaal-aanbod	C:/My%20Web%20Sites/nerdlab-mutation-2019/nerdlab.be/mutation/nieuws/digitaal-aanbod.html	(from https://nerdlab.be/mutation/nieuws)
11:42:08	5622/5622	---M--	200	added ('OK')	image/jpeg	etag:%2215f6-59a23edc198c7%22	https://nerdlab.be/data/images/_100xAUTO_crop_center-center_90_none/36331892_10156491083272552_6178678581237907456_o.jpg	C:/My%20Web%20Sites/nerdlab-mutation-2019/nerdlab.be/data/images/_100xAUTO_crop_center-center_90_none/36331892_10156491083272552_6178678581237907456_o.jpg	(from https://nerdlab.be/mutation/nieuws)
11:42:08	99625/99625	---M--	200	added ('OK')	image/jpeg	etag:%2218529-59a23e38102aa%22	https://nerdlab.be/data/images/_900xAUTO_crop_center-center_90_none/36331892_10156491083272552_6178678581237907456_o.jpg	C:/My%20Web%20Sites/nerdlab-mutation-2019/nerdlab.be/data/images/_900xAUTO_crop_center-center_90_none/36331892_10156491083272552_6178678581237907456_o.jpg	(from https://nerdlab.be/mutation/nieuws)
11:42:09	36730/36730	---M-Z	200	added ('OK')	text/html	date:Tue,%2006%20Aug%202024%2009:42:09%20GMT	https://nerdlab.be/mutation/nieuws/talk-tim-verheyden	C:/My%20Web%20Sites/nerdlab-mutation-2019/nerdlab.be/mutation/nieuws/talk-tim-verheyden.html	(from https://nerdlab.be/mutation/nieuws)
11:42:09	2333/2333	---M--	200	added ('OK')	image/jpeg	etag:%2291d-615aa6d787c3b%22	https://nerdlab.be/data/images/_100xAUTO_crop_center-center_90_none/17312/pr-013.jpg	C:/My%20Web%20Sites/nerdlab-mutation-2019/nerdlab.be/data/images/_100xAUTO_crop_center-center_90_none/17312/pr-013.jpg	(from https://nerdlab.be/mutation/nieuws)
11:42:09	70932/70932	---M--	200	added ('OK')	image/jpeg	etag:%2211514-615aa6d803fde%22	https://nerdlab.be/data/images/_900xAUTO_crop_center-center_90_none/17312/pr-013.jpg	C:/My%20Web%20Sites/nerdlab-mutation-2019/nerdlab.be/data/images/_900xAUTO_crop_center-center_90_none/17312/pr-013.jpg	(from https://nerdlab.be/mutation/nieuws)
11:42:10	39773/39773	---M-Z	200	added ('OK')	text/html	date:Tue,%2006%20Aug%202024%2009:42:09%20GMT	https://nerdlab.be/mutation/nieuws/glimps-nl	C:/My%20Web%20Sites/nerdlab-mutation-2019/nerdlab.be/mutation/nieuws/glimps-nl.html	(from https://nerdlab.be/mutation/nieuws)
11:42:10	3532/3532	---M--	200	added ('OK')	image/jpeg	etag:%22dcc-59a23eded7f3a%22	https://nerdlab.be/data/images/_100xAUTO_crop_center-center_90_none/De-presentatie-van-een-foto-of-het-apparaat-2-2018-1-1170x785.jpg	C:/My%20Web%20Sites/nerdlab-mutation-2019/nerdlab.be/data/images/_100xAUTO_crop_center-center_90_none/De-presentatie-van-een-foto-of-het-apparaat-2-2018-1-1170x785.jpg	(from https://nerdlab.be/mutation/nieuws)
11:42:10	198374/198374	---M--	200	added ('OK')	image/jpeg	etag:%22306e6-59a23e3dcf884%22	https://nerdlab.be/data/images/_900xAUTO_crop_center-center_90_none/De-presentatie-van-een-foto-of-het-apparaat-2-2018-1-1170x785.jpg	C:/My%20Web%20Sites/nerdlab-mutation-2019/nerdlab.be/data/images/_900xAUTO_crop_center-center_90_none/De-presentatie-van-een-foto-of-het-apparaat-2-2018-1-1170x785.jpg	(from https://nerdlab.be/mutation/nieuws)
11:42:10	41833/41833	---M-Z	200	added ('OK')	text/html	date:Tue,%2006%20Aug%202024%2009:42:10%20GMT	https://nerdlab.be/mutation/nieuws/stadsexpo-nl	C:/My%20Web%20Sites/nerdlab-mutation-2019/nerdlab.be/mutation/nieuws/stadsexpo-nl.html	(from https://nerdlab.be/mutation/nieuws)
11:42:10	1825/1825	---M--	200	added ('OK')	image/jpeg	etag:%22721-59a23ede14a42%22	https://nerdlab.be/data/images/_100xAUTO_crop_center-center_90_none/EinsteinVR169.jpeg	C:/My%20Web%20Sites/nerdlab-mutation-2019/nerdlab.be/data/images/_100xAUTO_crop_center-center_90_none/EinsteinVR169.jpg	(from https://nerdlab.be/mutation/nieuws)
11:42:10	89575/89575	---M--	200	added ('OK')	image/jpeg	etag:%2215de7-59a23e3c161d9%22	https://nerdlab.be/data/images/_900xAUTO_crop_center-center_90_none/EinsteinVR169.jpeg	C:/My%20Web%20Sites/nerdlab-mutation-2019/nerdlab.be/data/images/_900xAUTO_crop_center-center_90_none/EinsteinVR169.jpg	(from https://nerdlab.be/mutation/nieuws)
11:42:11	38253/38253	---M-Z	200	added ('OK')	text/html	date:Tue,%2006%20Aug%202024%2009:42:11%20GMT	https://nerdlab.be/mutation/nieuws/boottrip-captain-einstein-nl	C:/My%20Web%20Sites/nerdlab-mutation-2019/nerdlab.be/mutation/nieuws/boottrip-captain-einstein-nl.html	(from https://nerdlab.be/mutation/nieuws)
11:42:11	4749/4749	---M--	200	added ('OK')	image/jpeg	etag:%22128d-59a23ed9aa7fe%22	https://nerdlab.be/data/images/_100xAUTO_crop_center-center_90_none/20160424_AV_drukkerij_EGD-8.jpg	C:/My%20Web%20Sites/nerdlab-mutation-2019/nerdlab.be/data/images/_100xAUTO_crop_center-center_90_none/20160424_AV_drukkerij_EGD-8.jpg	(from https://nerdlab.be/mutation/nieuws)
11:42:11	133721/133721	---M--	200	added ('OK')	image/jpeg	etag:%2220a59-59a23e33aa2cd%22	https://nerdlab.be/data/images/_900xAUTO_crop_center-center_90_none/20160424_AV_drukkerij_EGD-8.jpg	C:/My%20Web%20Sites/nerdlab-mutation-2019/nerdlab.be/data/images/_900xAUTO_crop_center-center_90_none/20160424_AV_drukkerij_EGD-8.jpg	(from https://nerdlab.be/mutation/nieuws)
11:42:11	38310/38310	---M-Z	200	added ('OK')	text/html	date:Tue,%2006%20Aug%202024%2009:42:11%20GMT	https://nerdlab.be/mutation/nieuws/letterpress-nl	C:/My%20Web%20Sites/nerdlab-mutation-2019/nerdlab.be/mutation/nieuws/letterpress-nl.html	(from https://nerdlab.be/mutation/nieuws)
11:42:11	15715/15715	---M--	200	added ('OK')	image/png	etag:%223d63-59a23ede75521%22	https://nerdlab.be/data/images/_100xAUTO_crop_center-center_90_none/wearable-face-projector.png	C:/My%20Web%20Sites/nerdlab-mutation-2019/nerdlab.be/data/images/_100xAUTO_crop_center-center_90_none/wearable-face-projector.png	(from https://nerdlab.be/mutation/nieuws)
11:42:12	560135/560135	---M--	200	added ('OK')	image/png	etag:%2288c07-59a23e3cacfd8%22	https://nerdlab.be/data/images/_900xAUTO_crop_center-center_90_none/wearable-face-projector.png	C:/My%20Web%20Sites/nerdlab-mutation-2019/nerdlab.be/data/images/_900xAUTO_crop_center-center_90_none/wearable-face-projector.png	(from https://nerdlab.be/mutation/nieuws)
11:42:12	38597/38597	---M-Z	200	added ('OK')	text/html	date:Tue,%2006%20Aug%202024%2009:42:12%20GMT	https://nerdlab.be/mutation/nieuws/wearable-nl	C:/My%20Web%20Sites/nerdlab-mutation-2019/nerdlab.be/mutation/nieuws/wearable-nl.html	(from https://nerdlab.be/mutation/nieuws)
11:42:12	3407/3407	---M--	200	added ('OK')	image/jpeg	etag:%22d4f-59a23ed6d46e5%22	https://nerdlab.be/data/images/_100xAUTO_crop_center-center_90_none/20190531_094706.jpg	C:/My%20Web%20Sites/nerdlab-mutation-2019/nerdlab.be/data/images/_100xAUTO_crop_center-center_90_none/20190531_094706.jpg	(from https://nerdlab.be/mutation/nieuws)
11:42:12	117056/117056	---M--	200	added ('OK')	image/jpeg	etag:%221c940-59a23e2c6aa5a%22	https://nerdlab.be/data/images/_900xAUTO_crop_center-center_90_none/20190531_094706.jpg	C:/My%20Web%20Sites/nerdlab-mutation-2019/nerdlab.be/data/images/_900xAUTO_crop_center-center_90_none/20190531_094706.jpg	(from https://nerdlab.be/mutation/nieuws)
11:42:13	37891/37891	---M-Z	200	added ('OK')	text/html	date:Tue,%2006%20Aug%202024%2009:42:13%20GMT	https://nerdlab.be/mutation/nieuws/vr-in-de-cultuur	C:/My%20Web%20Sites/nerdlab-mutation-2019/nerdlab.be/mutation/nieuws/vr-in-de-cultuur.html	(from https://nerdlab.be/mutation/nieuws)
11:42:13	4144/4144	---M--	200	added ('OK')	image/jpeg	etag:%221030-615aa6d888606%22	https://nerdlab.be/data/images/_100xAUTO_crop_center-center_90_none/13206/Medialab-Muntpunt-Sessie-1.jpg	C:/My%20Web%20Sites/nerdlab-mutation-2019/nerdlab.be/data/images/_100xAUTO_crop_center-center_90_none/13206/Medialab-Muntpunt-Sessie-1.jpg	(from https://nerdlab.be/mutation/nieuws)
11:42:13	148894/148894	---M--	200	added ('OK')	image/jpeg	etag:%222459e-615aa6d9f5bd2%22	https://nerdlab.be/data/images/_900xAUTO_crop_center-center_90_none/13206/Medialab-Muntpunt-Sessie-1.jpg	C:/My%20Web%20Sites/nerdlab-mutation-2019/nerdlab.be/data/images/_900xAUTO_crop_center-center_90_none/13206/Medialab-Muntpunt-Sessie-1.jpg	(from https://nerdlab.be/mutation/nieuws)
11:42:14	38201/38201	---M-Z	200	added ('OK')	text/html	date:Tue,%2006%20Aug%202024%2009:42:13%20GMT	https://nerdlab.be/mutation/nieuws/inspiratiesessie-nieuwe-maakplekken-nl	C:/My%20Web%20Sites/nerdlab-mutation-2019/nerdlab.be/mutation/nieuws/inspiratiesessie-nieuwe-maakplekken-nl.html	(from https://nerdlab.be/mutation/nieuws)
11:42:14	6995/6995	---M--	200	added ('OK')	image/jpeg	etag:%221b53-59a23ed5f11cc%22	https://nerdlab.be/data/images/_100xAUTO_crop_center-center_90_none/download.jpeg	C:/My%20Web%20Sites/nerdlab-mutation-2019/nerdlab.be/data/images/_100xAUTO_crop_center-center_90_none/download.jpg	(from https://nerdlab.be/mutation/nieuws)
11:42:14	139583/139583	---M--	200	added ('OK')	image/jpeg	etag:%222213f-59a23e2babb7c%22	https://nerdlab.be/data/images/_900xAUTO_crop_center-center_90_none/download.jpeg	C:/My%20Web%20Sites/nerdlab-mutation-2019/nerdlab.be/data/images/_900xAUTO_crop_center-center_90_none/download.jpg	(from https://nerdlab.be/mutation/nieuws)
11:42:14	36834/36834	---M-Z	200	added ('OK')	text/html	date:Tue,%2006%20Aug%202024%2009:42:14%20GMT	https://nerdlab.be/mutation/nieuws/talk-educatie-participatie-nerdlab-nl	C:/My%20Web%20Sites/nerdlab-mutation-2019/nerdlab.be/mutation/nieuws/talk-educatie-participatie-nerdlab-nl.html	(from https://nerdlab.be/mutation/nieuws)
11:42:14	10677/10677	---M--	200	added ('OK')	image/png	etag:%2229b5-59a23ee00a47b%22	https://nerdlab.be/data/images/_100xAUTO_crop_center-center_90_none/74534099_432148861046473_4632940604689481728_n.png	C:/My%20Web%20Sites/nerdlab-mutation-2019/nerdlab.be/data/images/_100xAUTO_crop_center-center_90_none/74534099_432148861046473_4632940604689481728_n.png	(from https://nerdlab.be/mutation/nieuws)
11:42:14	248196/248196	---M--	200	added ('OK')	image/png	etag:%223c984-59a23e40ac39d%22	https://nerdlab.be/data/images/_900xAUTO_crop_center-center_90_none/74534099_432148861046473_4632940604689481728_n.png	C:/My%20Web%20Sites/nerdlab-mutation-2019/nerdlab.be/data/images/_900xAUTO_crop_center-center_90_none/74534099_432148861046473_4632940604689481728_n.png	(from https://nerdlab.be/mutation/nieuws)
11:42:15	38661/38661	---M-Z	200	added ('OK')	text/html	date:Tue,%2006%20Aug%202024%2009:42:15%20GMT	https://nerdlab.be/mutation/nieuws/wie-wat-waar-nl	C:/My%20Web%20Sites/nerdlab-mutation-2019/nerdlab.be/mutation/nieuws/wie-wat-waar-nl.html	(from https://nerdlab.be/mutation/nieuws)
11:42:15	5973/5973	---M--	200	added ('OK')	image/jpeg	etag:%221755-59a23edf74b14%22	https://nerdlab.be/data/images/_100xAUTO_crop_center-center_90_none/Hacktivate-the-City-Gluon-Sessie-3.jpg	C:/My%20Web%20Sites/nerdlab-mutation-2019/nerdlab.be/data/images/_100xAUTO_crop_center-center_90_none/Hacktivate-the-City-Gluon-Sessie-3.jpg	(from https://nerdlab.be/mutation/nieuws)
11:42:15	169642/169642	---M--	200	added ('OK')	image/jpeg	etag:%22296aa-59a23e3f816a5%22	https://nerdlab.be/data/images/_900xAUTO_crop_center-center_90_none/Hacktivate-the-City-Gluon-Sessie-3.jpg	C:/My%20Web%20Sites/nerdlab-mutation-2019/nerdlab.be/data/images/_900xAUTO_crop_center-center_90_none/Hacktivate-the-City-Gluon-Sessie-3.jpg	(from https://nerdlab.be/mutation/nieuws)
11:42:15	39213/39213	---M-Z	200	added ('OK')	text/html	date:Tue,%2006%20Aug%202024%2009:42:15%20GMT	https://nerdlab.be/mutation/nieuws/talk-co-creatie-en-activisme-talk-nl	C:/My%20Web%20Sites/nerdlab-mutation-2019/nerdlab.be/mutation/nieuws/talk-co-creatie-en-activisme-talk-nl.html	(from https://nerdlab.be/mutation/nieuws)
11:42:16	4953/4953	---M--	200	added ('OK')	image/jpeg	etag:%221359-59a23ed5c3b06%22	https://nerdlab.be/data/images/_100xAUTO_crop_center-center_90_none/Elias-Heuninck-portrait.jpg	C:/My%20Web%20Sites/nerdlab-mutation-2019/nerdlab.be/data/images/_100xAUTO_crop_center-center_90_none/Elias-Heuninck-portrait.jpg	(from https://nerdlab.be/mutation/nieuws)
11:42:16	128367/128367	---M--	200	added ('OK')	image/jpeg	etag:%221f56f-59a23e2a848bc%22	https://nerdlab.be/data/images/_900xAUTO_crop_center-center_90_none/Elias-Heuninck-portrait.jpg	C:/My%20Web%20Sites/nerdlab-mutation-2019/nerdlab.be/data/images/_900xAUTO_crop_center-center_90_none/Elias-Heuninck-portrait.jpg	(from https://nerdlab.be/mutation/nieuws)
11:42:16	37292/37292	---M-Z	200	added ('OK')	text/html	date:Tue,%2006%20Aug%202024%2009:42:16%20GMT	https://nerdlab.be/mutation/nieuws/tools-for-things-and-ideas	C:/My%20Web%20Sites/nerdlab-mutation-2019/nerdlab.be/mutation/nieuws/tools-for-things-and-ideas.html	(from https://nerdlab.be/mutation/nieuws)
11:42:16	1334/1334	---M--	200	added ('OK')	image/jpeg	etag:%22536-59a23ee55b5ee%22	https://nerdlab.be/data/images/_100xAUTO_crop_center-center_90_none/PYRAMIDE.jpg	C:/My%20Web%20Sites/nerdlab-mutation-2019/nerdlab.be/data/images/_100xAUTO_crop_center-center_90_none/PYRAMIDE.jpg	(from https://nerdlab.be/mutation/nieuws)
11:42:17	33975/33975	---M--	200	added ('OK')	image/jpeg	etag:%2284b7-59a23e4cafe0a%22	https://nerdlab.be/data/images/_900xAUTO_crop_center-center_90_none/PYRAMIDE.jpg	C:/My%20Web%20Sites/nerdlab-mutation-2019/nerdlab.be/data/images/_900xAUTO_crop_center-center_90_none/PYRAMIDE.jpg	(from https://nerdlab.be/mutation/nieuws)
11:42:17	39386/39386	---M-Z	200	added ('OK')	text/html	date:Tue,%2006%20Aug%202024%2009:42:17%20GMT	https://nerdlab.be/mutation/nieuws/spaced-nl	C:/My%20Web%20Sites/nerdlab-mutation-2019/nerdlab.be/mutation/nieuws/spaced-nl.html	(from https://nerdlab.be/mutation/nieuws)
11:42:17	3864/3864	---M--	200	added ('OK')	image/jpeg	etag:%22f18-59a23ee36144a%22	https://nerdlab.be/data/images/_100xAUTO_crop_center-center_90_none/playField-c-Michiel-Devijver.jpg	C:/My%20Web%20Sites/nerdlab-mutation-2019/nerdlab.be/data/images/_100xAUTO_crop_center-center_90_none/playField-c-Michiel-Devijver.jpg	(from https://nerdlab.be/mutation/nieuws)
11:42:17	122921/122921	---M--	200	added ('OK')	image/jpeg	etag:%221e029-59a23e4821b11%22	https://nerdlab.be/data/images/_900xAUTO_crop_center-center_90_none/playField-c-Michiel-Devijver.jpg	C:/My%20Web%20Sites/nerdlab-mutation-2019/nerdlab.be/data/images/_900xAUTO_crop_center-center_90_none/playField-c-Michiel-Devijver.jpg	(from https://nerdlab.be/mutation/nieuws)
11:42:18	38493/38493	---M-Z	200	added ('OK')	text/html	date:Tue,%2006%20Aug%202024%2009:42:17%20GMT	https://nerdlab.be/mutation/nieuws/playfield-nl	C:/My%20Web%20Sites/nerdlab-mutation-2019/nerdlab.be/mutation/nieuws/playfield-nl.html	(from https://nerdlab.be/mutation/nieuws)
11:42:18	1432/1432	---M--	200	added ('OK')	image/jpeg	etag:%22598-59a23ee1cbbc9%22	https://nerdlab.be/data/images/_100xAUTO_crop_center-center_90_none/WorkshopValeryVermeulen_Pic01.jpg	C:/My%20Web%20Sites/nerdlab-mutation-2019/nerdlab.be/data/images/_100xAUTO_crop_center-center_90_none/WorkshopValeryVermeulen_Pic01.jpg	(from https://nerdlab.be/mutation/nieuws)
11:42:18	35377/35377	---M--	200	added ('OK')	image/jpeg	etag:%228a31-59a23e440281c%22	https://nerdlab.be/data/images/_900xAUTO_crop_center-center_90_none/WorkshopValeryVermeulen_Pic01.jpg	C:/My%20Web%20Sites/nerdlab-mutation-2019/nerdlab.be/data/images/_900xAUTO_crop_center-center_90_none/WorkshopValeryVermeulen_Pic01.jpg	(from https://nerdlab.be/mutation/nieuws)
11:42:18	39575/39575	---M-Z	200	added ('OK')	text/html	date:Tue,%2006%20Aug%202024%2009:42:18%20GMT	https://nerdlab.be/mutation/nieuws/workshop-deep-space-nl	C:/My%20Web%20Sites/nerdlab-mutation-2019/nerdlab.be/mutation/nieuws/workshop-deep-space-nl.html	(from https://nerdlab.be/mutation/nieuws)
11:42:18	10229/10229	---M--	200	added ('OK')	image/jpeg	etag:%2227f5-59a23ee02feb6%22	https://nerdlab.be/data/images/_100xAUTO_crop_center-center_90_none/SannedeMuelenaere_JasnaRok-start.jpg	C:/My%20Web%20Sites/nerdlab-mutation-2019/nerdlab.be/data/images/_100xAUTO_crop_center-center_90_none/SannedeMuelenaere_JasnaRok-start.jpg	(from https://nerdlab.be/mutation/nieuws)
11:42:19	330697/330697	---M--	200	added ('OK')	image/jpeg	etag:%2250bc9-59a23e4181d6c%22	https://nerdlab.be/data/images/_900xAUTO_crop_center-center_90_none/SannedeMuelenaere_JasnaRok-start.jpg	C:/My%20Web%20Sites/nerdlab-mutation-2019/nerdlab.be/data/images/_900xAUTO_crop_center-center_90_none/SannedeMuelenaere_JasnaRok-start.jpg	(from https://nerdlab.be/mutation/nieuws)
11:42:19	39169/39169	---M-Z	200	added ('OK')	text/html	date:Tue,%2006%20Aug%202024%2009:42:19%20GMT	https://nerdlab.be/mutation/nieuws/jasna-rok-nl	C:/My%20Web%20Sites/nerdlab-mutation-2019/nerdlab.be/mutation/nieuws/jasna-rok-nl.html	(from https://nerdlab.be/mutation/nieuws)
11:42:19	8248/8248	---M--	200	added ('OK')	image/jpeg	etag:%222038-59a23edce4f26%22	https://nerdlab.be/data/images/_100xAUTO_crop_center-center_90_none/promoSquare.jpg	C:/My%20Web%20Sites/nerdlab-mutation-2019/nerdlab.be/data/images/_100xAUTO_crop_center-center_90_none/promoSquare.jpg	(from https://nerdlab.be/mutation/nieuws)
11:42:19	281172/281172	---M--	200	added ('OK')	image/jpeg	etag:%2244a54-59a23e396c9b3%22	https://nerdlab.be/data/images/_900xAUTO_crop_center-center_90_none/promoSquare.jpg	C:/My%20Web%20Sites/nerdlab-mutation-2019/nerdlab.be/data/images/_900xAUTO_crop_center-center_90_none/promoSquare.jpg	(from https://nerdlab.be/mutation/nieuws)
11:42:20	37415/37415	---M-Z	200	added ('OK')	text/html	date:Tue,%2006%20Aug%202024%2009:42:19%20GMT	https://nerdlab.be/mutation/nieuws/talk-young-talent-seks-mag	C:/My%20Web%20Sites/nerdlab-mutation-2019/nerdlab.be/mutation/nieuws/talk-young-talent-seks-mag.html	(from https://nerdlab.be/mutation/nieuws)
